Pilot ID,Name,Contact Information,Airline/Organization,Job Title,Training Enrollment Date,Training Status,Verification Status,Verification Date,Simulator Type,Training Program,Session Start Date,Session End Date,Session Frequency,Session Records,Training Cost,Subsidy Amount,Final Cost to Pilot,Enrollment Method,Coordinator,Comments/Notes,Compliance Status,Audits,Last Update Date,Report Generation Date,Data Extraction Date,Statistical Metrics
40124148,Robert Curry,steven22@hotmail.com,"Gilmore, Blankenship and Smith",Legal executive,2020-03-20,Completed,Pending,2023-10-27,CAE Prodigy Image Generator,Initial Pilot Training,2024-07-22,2024-05-03,Weekly,8,6414,4055,2263,Online,Steven Johnston,By week coach first produce drug.,Non-Compliant,Turn care treatment western close laugh.,2024-06-01,2024-08-04,2024-06-25,Avg Usage: 6 sessions/month
6e94b7f6,Samantha Lloyd,dsherman@hotmail.com,Turner Ltd,Educational psychologist,2021-07-22,Completed,Verified,2022-11-10,CAE 7000XR Full-Flight,Initial Pilot Training,2024-06-13,2024-03-12,Weekly,5,6740,718,2198,Online,Ashley Bell,Information beyond though exactly race use.,Compliant,Order company through.,2024-04-04,2024-02-12,2024-07-15,Avg Usage: 4 sessions/month
9fb06f3c,William Smith,jmiller@gmail.com,"Wilson, Ritter and Morrison",IT trainer,2020-07-27,Completed,Pending,2024-05-07,CAE 7000XR Full-Flight,Recurrency Training,2024-07-31,2024-05-16,Monthly,4,6871,3713,2822,In-person,Roger Velasquez,Same cut pass understand size.,Non-Compliant,Deep tonight situation case eight.,2024-07-07,2024-04-08,2024-02-02,Avg Usage: 9 sessions/month
254c69cf,Courtney Evans,yrogers@jackson.com,Vargas-Montoya,Historic buildings inspector/conservation officer,2024-03-08,Enrolled,Verified,2022-04-11,CAE 7000XR Full-Flight,Recurrency Training,2024-07-09,2024-06-24,Bi-weekly,4,4203,4756,1171,Online,Andrew Caldwell,Adult affect meeting necessary.,Non-Compliant,Mind soon themselves drug kitchen.,2024-06-04,2024-06-20,2024-04-08,Avg Usage: 7 sessions/month
2318cb6e,Natalie Lewis,deborah50@hotmail.com,"Wagner, Hill and Acosta",Event organiser,2022-08-20,In Progress,Pending,2021-11-11,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-18,2024-05-23,Monthly,3,9662,4905,1366,In-person,James Wilson,Effort represent right must dark type suggest second.,Non-Compliant,Seat water security free.,2024-05-02,2024-05-17,2024-05-29,Avg Usage: 9 sessions/month
ced2564d,Karen Green MD,justinbrown@gmail.com,Morales Inc,"Merchandiser, retail",2020-06-22,Completed,Verified,2020-09-30,CAE 7000XR Full-Flight,Initial Pilot Training,2024-01-18,2024-03-25,Monthly,6,2897,2937,3772,In-person,Dr. Henry Ball MD,A crime health edge peace wall money.,Non-Compliant,Body fire open size population.,2024-02-02,2024-07-11,2024-03-24,Avg Usage: 5 sessions/month
8a04a546,Jennifer Shepherd,campbellstephanie@hawkins.com,"Williams, Mcgee and Anderson",Child psychotherapist,2022-08-08,Enrolled,Pending,2022-11-29,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-06-05,2024-04-30,Monthly,1,3143,2757,3834,Online,Jennifer Jones,Peace mission near enough power plant.,Non-Compliant,Decade force hair say decide.,2024-06-04,2024-07-31,2024-03-24,Avg Usage: 4 sessions/month
200bcd73,Leah White,millersamantha@yahoo.com,Hays Inc,Mudlogger,2022-01-17,Enrolled,Pending,2023-03-05,CAE Prodigy Image Generator,Initial Pilot Training,2024-04-05,2024-01-31,Weekly,5,4508,4546,4922,Online,Kari Williams,Theory product section look do government read.,Compliant,Carry maybe foot.,2024-02-11,2024-07-03,2024-02-11,Avg Usage: 4 sessions/month
bc03dae4,Eric Lewis,grace40@yahoo.com,Butler Ltd,Actor,2022-03-24,In Progress,Pending,2021-03-06,CAE Simfinity XR Series,Initial Pilot Training,2024-06-02,2024-02-28,Bi-weekly,8,7558,3414,3899,In-person,Robert Mercer,Detail history short you PM begin teacher.,Compliant,Key require yes hair.,2024-02-12,2024-04-23,2024-05-02,Avg Usage: 5 sessions/month
86cc6617,Kristina Bell,julie06@callahan.net,"Cardenas, Hull and Schultz","Secretary, company",2023-04-19,Enrolled,Verified,2022-11-02,CAE Simfinity XR Series,Initial Pilot Training,2024-05-25,2024-04-03,Monthly,8,8541,2766,2183,Online,Brenda Johnson,Before member picture indicate administration beat such involve.,Non-Compliant,Building front politics.,2024-07-15,2024-06-27,2024-03-13,Avg Usage: 4 sessions/month
dd88ff61,Miranda Castaneda,shane32@reyes-sullivan.com,Baker Ltd,Catering manager,2022-05-16,Completed,Verified,2021-08-17,CAE Simfinity XR Series,Recurrency Training,2024-05-06,2024-06-03,Bi-weekly,3,4255,1906,2531,Online,John Gonzalez,Skin coach Democrat defense push.,Non-Compliant,Adult message station peace trial smile occur.,2024-03-23,2024-07-12,2024-03-22,Avg Usage: 10 sessions/month
31f73b6e,Michael Miller,kaylataylor@yahoo.com,"Figueroa, Patel and Miller",Leisure centre manager,2021-07-20,Completed,Verified,2022-09-24,CAE Simfinity XR Series,Initial Pilot Training,2024-03-26,2024-05-22,Weekly,2,3597,1220,2349,Online,Steven Gonzalez,Teach risk stock.,Compliant,Many student since plant market.,2024-08-02,2024-03-20,2024-04-10,Avg Usage: 9 sessions/month
740848bb,Shannon Flowers,jacksonamber@white.com,Miller Inc,Fine artist,2021-09-22,Completed,Pending,2023-10-21,CAE Prodigy Image Generator,Initial Pilot Training,2024-05-24,2024-01-12,Monthly,8,8341,3611,4627,In-person,Wayne Lee,Increase item what office.,Non-Compliant,Parent majority miss drive media public.,2024-03-27,2024-04-04,2024-01-14,Avg Usage: 7 sessions/month
bb2e09d8,Brian White,boylelauren@thompson.com,Moore and Sons,Community development worker,2021-12-17,Completed,Verified,2022-08-21,CAE 7000XR Full-Flight,Initial Pilot Training,2024-06-28,2024-05-03,Monthly,5,6653,4185,2462,In-person,Jacob Pugh,Product best none most agency.,Compliant,Everything water condition manager.,2024-01-01,2024-02-24,2024-04-22,Avg Usage: 10 sessions/month
6a3ffa16,Micheal Gonzales,caitlynortega@yahoo.com,Garcia-Patterson,Manufacturing engineer,2022-01-18,In Progress,Rejected,2024-06-20,CAE Prodigy Image Generator,Recurrency Training,2024-02-13,2024-05-03,Weekly,3,8352,1470,1146,Online,Dustin Melendez DVM,Rich process any set.,Compliant,Chance foot feel tax minute expect second.,2024-04-14,2024-06-22,2024-07-07,Avg Usage: 6 sessions/month
619bf0bb,Lisa Mcdaniel,christopher22@garcia.com,Harris-Murray,Metallurgist,2022-05-10,In Progress,Rejected,2023-10-12,CAE Simfinity XR Series,Recurrency Training,2024-04-20,2024-05-23,Weekly,5,8980,3488,3485,In-person,Megan Ruiz,Join our effort trial house scene too dream.,Compliant,From task head true.,2024-03-30,2024-04-12,2024-02-15,Avg Usage: 9 sessions/month
325a7a12,Pamela Ellis,colemanjerry@gutierrez.com,Prince-Jones,Network engineer,2022-09-16,Enrolled,Rejected,2020-09-20,CAE Prodigy Image Generator,Recurrency Training,2024-01-02,2024-05-11,Weekly,8,3333,1928,3315,In-person,Manuel Garcia,Member beyond friend others plan.,Compliant,Notice able voice respond physical.,2024-06-04,2024-06-04,2024-03-22,Avg Usage: 6 sessions/month
2363d7e0,Philip Herman,coleandrea@gmail.com,"Neal, Zamora and Baxter",Fish farm manager,2020-12-07,Completed,Pending,2022-01-03,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-01-15,2024-05-05,Monthly,5,6058,4663,2530,Online,Belinda Dickerson,Science its ahead hospital production fire.,Compliant,Rather else west western daughter thus.,2024-07-20,2024-05-19,2024-01-11,Avg Usage: 9 sessions/month
24481f8e,Nancy Kane,jonathanbaldwin@campos.com,Chase Ltd,"Horticulturist, amenity",2024-06-13,Enrolled,Pending,2020-11-07,CAE Simfinity XR Series,Initial Pilot Training,2024-07-29,2024-05-04,Monthly,7,3942,2395,3588,Online,Anna Beard,Floor create enter strategy thank structure leave.,Non-Compliant,Teacher reduce tree marriage.,2024-03-28,2024-08-01,2024-04-27,Avg Usage: 7 sessions/month
5627501c,John Dunn,cynthia78@yahoo.com,"Sparks, Jones and Adams",Actor,2020-06-01,Enrolled,Pending,2021-08-14,CAE Simfinity XR Series,Initial Pilot Training,2024-08-01,2024-03-04,Weekly,1,2455,2997,1515,Online,Richard Freeman,Drop hour would box when summer visit.,Non-Compliant,Ok they scientist us do nice.,2024-03-18,2024-04-02,2024-07-17,Avg Usage: 5 sessions/month
fb776090,David Dunlap,ashley73@gmail.com,"Poole, Salazar and Ball","Biochemist, clinical",2020-09-06,Enrolled,Pending,2020-01-07,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-05-17,2024-05-17,Monthly,8,2682,2835,4561,In-person,Jennifer Briggs,Job magazine serve.,Non-Compliant,Learn tough like environment reality yard.,2024-05-01,2024-01-28,2024-07-21,Avg Usage: 5 sessions/month
47fc7022,Jamie Wright,carol51@hotmail.com,Robinson LLC,"Civil engineer, contracting",2022-02-03,Enrolled,Rejected,2023-06-12,CAE Prodigy Image Generator,Initial Pilot Training,2024-01-28,2024-05-27,Bi-weekly,6,3371,2422,562,Online,Damon Scott,Anything statement drug series stock.,Non-Compliant,Simply letter himself big PM trouble.,2024-04-10,2024-06-17,2024-03-25,Avg Usage: 1 sessions/month
b6b4ca9d,Ronnie Williams,william69@gmail.com,Hernandez LLC,Catering manager,2022-10-01,In Progress,Rejected,2021-06-01,CAE 7000XR Full-Flight,Initial Pilot Training,2024-07-04,2024-05-10,Weekly,5,8332,4890,3013,In-person,Teresa Powell,Hundred buy south suggest.,Non-Compliant,Bit continue wonder author indeed.,2024-02-22,2024-06-23,2024-01-29,Avg Usage: 4 sessions/month
2520f4b2,Tyler Payne,marksullivan@gmail.com,Castro-Weiss,Museum/gallery conservator,2020-12-20,Completed,Rejected,2020-04-10,CAE 7000XR Full-Flight,Initial Pilot Training,2024-03-16,2024-05-19,Weekly,9,7719,3544,2904,In-person,Brandon Middleton,Positive forward or energy deal method people.,Compliant,Sister player sure generation also.,2024-05-23,2024-07-05,2024-02-03,Avg Usage: 9 sessions/month
d1774124,Jason Saunders,yesenia13@hotmail.com,"Cooper, Morrison and Martin",Historic buildings inspector/conservation officer,2020-08-21,In Progress,Verified,2024-04-11,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-01-23,2024-07-30,Bi-weekly,8,7606,1728,1588,Online,Nathan Richmond,Early others later still.,Non-Compliant,Figure unit buy.,2024-07-28,2024-07-26,2024-01-14,Avg Usage: 7 sessions/month
8d6dd6a2,Daniel Padilla,chall@gmail.com,Davis PLC,Estate manager/land agent,2023-03-04,Enrolled,Pending,2021-01-13,CAE Prodigy Image Generator,Recurrency Training,2024-07-08,2024-01-08,Bi-weekly,1,9466,630,825,Online,John Hoover,None oil parent other tend current part.,Compliant,Pressure reflect east power fact office hand.,2024-07-26,2024-03-05,2024-01-06,Avg Usage: 1 sessions/month
1986b845,James Daugherty,marie03@travis.org,Phillips-Lyons,"Geneticist, molecular",2023-05-26,In Progress,Rejected,2021-01-30,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-01-11,2024-03-16,Bi-weekly,8,5108,2434,4038,Online,Daniel Herring,Strong hair possible happen physical yard.,Non-Compliant,Less everything own break simple door growth build.,2024-06-16,2024-03-12,2024-07-01,Avg Usage: 3 sessions/month
9f9086ec,Dana Wilson,reesetheresa@hotmail.com,"Pittman, Garza and Reed","Journalist, magazine",2023-11-04,Completed,Pending,2020-09-12,CAE 7000XR Full-Flight,Initial Pilot Training,2024-03-01,2024-06-10,Bi-weekly,8,6352,4204,2415,Online,Richard Diaz,Occur south bad up project.,Non-Compliant,Popular great management top back voice list.,2024-06-16,2024-05-10,2024-01-18,Avg Usage: 10 sessions/month
b2644696,Aaron Watkins,lreynolds@lane.net,Benjamin Inc,Museum/gallery curator,2022-05-15,Completed,Verified,2020-02-15,CAE Prodigy Image Generator,Recurrency Training,2024-07-21,2024-06-22,Monthly,4,5303,878,4029,Online,Christina Fernandez,Task nation prepare writer local position few.,Compliant,Type require successful majority.,2024-04-17,2024-05-19,2024-05-18,Avg Usage: 2 sessions/month
d11efeb7,Brittney Douglas,ogarner@hurley.com,Rodriguez-Shaw,Curator,2023-08-29,Enrolled,Verified,2023-09-12,CAE 7000XR Full-Flight,Recurrency Training,2024-04-17,2024-02-29,Monthly,7,3778,1205,1046,In-person,George Vazquez,Range clear matter reflect table can then third.,Compliant,Month sing half several fine like cultural.,2024-01-16,2024-07-09,2024-05-07,Avg Usage: 6 sessions/month
fac35c98,Katherine Hall,bho@carr-harris.com,Johnson-Hubbard,Geochemist,2023-12-03,Completed,Rejected,2020-12-21,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-02-20,2024-07-28,Monthly,3,3856,1512,3383,In-person,Raymond Morgan,Soldier system right despite.,Compliant,Dog industry whom join nation.,2024-07-29,2024-01-11,2024-03-26,Avg Usage: 10 sessions/month
003805db,Samuel Martin,kimberly01@gmail.com,Gray-Beasley,Jewellery designer,2022-07-07,Completed,Verified,2020-01-28,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-14,2024-06-15,Monthly,7,8712,1022,4169,Online,Justin Thompson,Use write laugh.,Non-Compliant,Phone notice simply control need operation.,2024-01-12,2024-03-20,2024-01-25,Avg Usage: 8 sessions/month
ca2ce20d,Gina Pierce,stevenryan@pugh.biz,Porter Inc,Insurance account manager,2023-01-27,Completed,Rejected,2021-09-17,CAE 7000XR Full-Flight,Initial Pilot Training,2024-07-29,2024-06-04,Bi-weekly,4,4634,1014,3754,In-person,Scott Lucas,Possible cold decision so explain rate.,Compliant,Throw model think government here report cause.,2024-03-03,2024-03-23,2024-06-19,Avg Usage: 3 sessions/month
75941def,Jennifer Williamson,rbishop@henry.com,Brown Group,Jewellery designer,2023-04-19,Enrolled,Verified,2023-12-06,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-06-21,2024-07-26,Weekly,6,4691,3528,2921,Online,Tommy Malone,Four wide themselves hard human.,Non-Compliant,These office book.,2024-06-23,2024-01-03,2024-03-13,Avg Usage: 5 sessions/month
bcba2817,Laura Lewis,frederickhumphrey@moss.info,Hernandez PLC,Contractor,2024-07-14,Enrolled,Pending,2020-04-06,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-19,2024-01-22,Monthly,1,8018,3745,4175,Online,Brian Thomas,Citizen dream none pull.,Compliant,Provide blood daughter rich tend it.,2024-02-07,2024-02-20,2024-07-06,Avg Usage: 4 sessions/month
a93bab23,Ashley Whitehead,timothyfoster@herrera-smith.info,Torres-Houston,Historic buildings inspector/conservation officer,2020-02-08,Enrolled,Verified,2021-03-01,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-04-09,2024-02-12,Bi-weekly,6,7590,2998,1520,Online,Kathleen Andrews,Education assume watch task prevent room.,Non-Compliant,Social pattern truth.,2024-06-04,2024-07-26,2024-05-04,Avg Usage: 2 sessions/month
334e5f6d,Jamie Bowman,terrellmisty@wells.net,"Henderson, Rodriguez and Bailey",Occupational psychologist,2020-08-26,In Progress,Verified,2020-09-23,CAE Prodigy Image Generator,Initial Pilot Training,2024-06-13,2024-02-04,Monthly,6,3385,3240,1231,In-person,Bobby Hill,Base like city guy glass size.,Non-Compliant,Special catch threat drop out evening federal.,2024-05-15,2024-06-24,2024-06-20,Avg Usage: 1 sessions/month
87fbe344,Melanie Medina,jenningsjoseph@baker.com,"Kerr, Ray and Yoder",Chief Technology Officer,2024-07-17,Enrolled,Pending,2022-08-13,CAE Simfinity XR Series,Initial Pilot Training,2024-06-12,2024-01-23,Weekly,4,5620,2415,1841,In-person,Justin Garcia,Table image matter begin fill reach ten.,Compliant,Why effort person carry single size.,2024-07-24,2024-04-11,2024-03-21,Avg Usage: 6 sessions/month
36a93580,Jennifer Brown,anthony76@gmail.com,Avila PLC,Charity officer,2023-08-12,Completed,Verified,2022-09-20,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-06-20,2024-07-18,Weekly,2,5875,1528,3558,Online,Natasha Burns,Health race girl other now drug true.,Non-Compliant,Politics kind culture me.,2024-04-24,2024-02-16,2024-01-15,Avg Usage: 2 sessions/month
1c9abff9,Leah Leon,jamesdunn@hatfield.biz,Mendoza Inc,IT trainer,2024-05-11,In Progress,Verified,2020-02-25,CAE Prodigy Image Generator,Recurrency Training,2024-03-26,2024-02-29,Monthly,4,6511,982,3468,In-person,Jennifer Davis,Play exactly skin particular.,Compliant,Law different including morning.,2024-02-24,2024-04-18,2024-07-12,Avg Usage: 8 sessions/month
8a19b178,Tracey Robbins,xkeller@dennis.com,"Elliott, Mcdonald and Perez","Accountant, chartered",2022-06-08,Enrolled,Pending,2021-06-27,CAE 7000XR Full-Flight,Initial Pilot Training,2024-05-01,2024-05-09,Bi-weekly,6,6931,1060,928,In-person,Destiny Dean,Cold movie finally.,Compliant,Hundred and better current agent experience their.,2024-03-16,2024-04-02,2024-01-06,Avg Usage: 9 sessions/month
ec00e4db,Amanda Harding,pamelagonzales@mercer-wilson.net,"Richardson, Kirby and Rich",Local government officer,2020-12-04,Enrolled,Verified,2021-09-24,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-02-03,2024-06-11,Weekly,7,2188,4405,1889,Online,Karla Chang,Study task member next show morning.,Non-Compliant,Data focus them right use majority against.,2024-05-24,2024-03-19,2024-01-29,Avg Usage: 8 sessions/month
2e7830a3,Jeffrey Robinson,todd33@kelley.info,"Smith, Carroll and Hawkins",Optometrist,2022-08-09,Completed,Rejected,2020-04-23,CAE Simfinity XR Series,Initial Pilot Training,2024-01-19,2024-05-22,Bi-weekly,8,5687,3901,3953,Online,Kelly West,About that art.,Non-Compliant,Teach shoulder you worker.,2024-07-26,2024-06-19,2024-06-04,Avg Usage: 7 sessions/month
63845e40,April Hunter,elizabethsmith@osborne.com,Palmer LLC,Freight forwarder,2022-04-19,Completed,Verified,2020-04-03,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-04-27,2024-02-24,Bi-weekly,4,8154,3570,943,In-person,Victoria Smith,Bank government could send herself.,Compliant,Guess yard item establish ok baby clearly.,2024-02-27,2024-04-28,2024-04-29,Avg Usage: 8 sessions/month
d050c8d7,Wendy Barron,carrsheri@wyatt.com,Boyd and Sons,"Development worker, international aid",2021-06-26,Completed,Rejected,2023-02-02,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-02-07,2024-04-14,Weekly,6,3614,3304,3385,In-person,Tonya Franklin,Necessary woman increase continue.,Non-Compliant,Interview church adult marriage.,2024-05-20,2024-06-13,2024-05-09,Avg Usage: 2 sessions/month
2487a0ec,Benjamin Howell,edward25@gmail.com,"Garcia, Barnett and Matthews",Architectural technologist,2022-05-03,In Progress,Verified,2022-09-20,CAE 7000XR Full-Flight,Recurrency Training,2024-01-27,2024-04-20,Bi-weekly,2,6766,2109,1676,Online,Jessica Bryant,Item minute language medical learn woman as.,Compliant,Movie believe front successful big main.,2024-05-13,2024-07-14,2024-05-31,Avg Usage: 5 sessions/month
2e86647f,Kelly Berry,aweeks@gmail.com,Lucas-Avila,Sports coach,2022-05-22,Enrolled,Pending,2020-06-21,CAE Prodigy Image Generator,Initial Pilot Training,2024-03-06,2024-08-03,Bi-weekly,9,5418,4761,3931,Online,Robert Ryan,Break pressure onto thought rise what upon.,Non-Compliant,Theory tough strong morning.,2024-06-19,2024-06-08,2024-05-26,Avg Usage: 4 sessions/month
884c1414,Lauren King,whernandez@davis.com,Lopez-Huang,Risk analyst,2024-04-01,Completed,Pending,2022-01-03,CAE Prodigy Image Generator,Recurrency Training,2024-03-31,2024-03-21,Bi-weekly,3,2328,1660,3793,Online,Mrs. Taylor Hunt,Product risk image west board production.,Non-Compliant,Someone protect guess.,2024-05-18,2024-01-27,2024-05-24,Avg Usage: 7 sessions/month
546ba764,Dorothy Barnes,kaylajimenez@hotmail.com,Davis-Wagner,Location manager,2023-03-07,Enrolled,Verified,2021-01-23,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-05-30,2024-02-18,Bi-weekly,7,6168,810,4951,Online,Kimberly Suarez,Red chair charge mouth.,Non-Compliant,Approach stage nearly food movie.,2024-04-07,2024-04-24,2024-02-12,Avg Usage: 9 sessions/month
b3da2368,Brandy Gallagher,kathleenwright@yahoo.com,"Anderson, Miller and Alvarez","Engineer, materials",2020-02-26,Enrolled,Verified,2021-04-20,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-06-19,2024-04-23,Monthly,4,9080,1898,4017,In-person,Kayla Alvarez,Method truth get trip form land glass.,Compliant,Tonight vote forward represent environment.,2024-03-23,2024-07-19,2024-06-17,Avg Usage: 1 sessions/month
1c4489ec,James Frey II,rodriguezheather@gmail.com,"Roberson, Gomez and Jones",Exercise physiologist,2022-02-16,Enrolled,Rejected,2021-09-17,CAE Simfinity XR Series,Initial Pilot Training,2024-03-09,2024-06-24,Weekly,7,3949,3383,686,Online,Barbara Middleton,Enough make lay senior more color.,Compliant,Defense major truth rich my watch.,2024-07-01,2024-06-16,2024-04-15,Avg Usage: 4 sessions/month
ef0cf828,Allen Li,danielle93@hotmail.com,"Perry, Moreno and Lee",Broadcast presenter,2022-09-19,Completed,Pending,2023-04-19,CAE Prodigy Image Generator,Recurrency Training,2024-05-06,2024-05-12,Bi-weekly,4,5634,4958,651,Online,Christina Campbell,Father small instead adult who.,Non-Compliant,Fight result ever arrive many baby.,2024-01-22,2024-03-03,2024-05-16,Avg Usage: 4 sessions/month
7dae426d,Susan Lopez,williamsjared@hotmail.com,"Davis, Baker and Foster",Hospital pharmacist,2023-09-24,Enrolled,Verified,2024-04-04,CAE Prodigy Image Generator,Recurrency Training,2024-06-22,2024-07-08,Weekly,6,4441,940,3306,In-person,Lisa Pearson,Wait thing throughout stuff yard same.,Compliant,Lead other trial gun effect bank book almost.,2024-03-30,2024-02-05,2024-03-30,Avg Usage: 2 sessions/month
8300e15e,Savannah Hall,diazjustin@yahoo.com,Cruz-Francis,Therapeutic radiographer,2022-03-23,In Progress,Rejected,2022-05-09,CAE 7000XR Full-Flight,Initial Pilot Training,2024-04-18,2024-05-07,Bi-weekly,3,4392,2787,3109,Online,Lori Brown,Better them free western recognize true recognize.,Compliant,Entire measure tell artist indicate.,2024-04-05,2024-06-02,2024-04-26,Avg Usage: 5 sessions/month
47174f86,Karen Robinson,wrogers@gray.biz,"Park, Duncan and Garcia","Accountant, chartered public finance",2023-11-15,Enrolled,Rejected,2021-03-02,CAE Simfinity XR Series,Recurrency Training,2024-07-21,2024-03-06,Weekly,8,7817,1295,2219,In-person,Cristian Torres,Discuss left step drop.,Compliant,Success same particular deep identify assume better mouth.,2024-01-29,2024-04-20,2024-04-06,Avg Usage: 4 sessions/month
88a937ce,Kayla Jones,nvaldez@yahoo.com,Oliver and Sons,Hydrologist,2022-01-31,Completed,Verified,2021-09-14,CAE Prodigy Image Generator,Initial Pilot Training,2024-06-21,2024-06-07,Weekly,9,5738,4778,3410,In-person,Gerald Meyer,No officer fact each fast middle case.,Compliant,Of parent this few do beat above.,2024-05-16,2024-03-11,2024-06-21,Avg Usage: 2 sessions/month
